"US","LA","NY","LasVegas","Washington"
"Catriona Gray","Miss Universe","Offset","Catriona Gray","Catriona Gray"
"Offset","Offset","Venezuela","Offset","Offset"
"Venezuela","Venezuela","Cruz Azul","Venezuela","Venezuela"
"Cruz Azul","Cruz Azul","Steelers","Santa","Cruz Azul"
"Steelers","#WWETLC","Cowboys","Cruz Azul","Steelers"
"Cowboys","Steelers","Pete Davidson","Steelers","Cowboys"
"Pete Davidson","Cowboys","Stephen Miller","Cowboys","Pete Davidson"
"Stephen Miller","Pete Davidson","Colts","Pete Davidson","Stephen Miller"
"Colts","Stephen Miller","Browns","#Christmas","Colts"
"Browns","Colts","Packers","Stephen Miller","Browns"
